"hotel_name","price","dates","duration","duration_bucket","rating","ta_rating","ta_review_count","ta_source","departure_airport","scraped_at","url","image_url","offer_url"
"Filerimos Village Grecja, Rodos, Jalisos","8068.0","08.06.2026 - 22.06.2026","15 dni/14 nocy","","","","","","Все аэропорты","2026-06-08T00:08:54.380190+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=08-06-2026&filter[whenTo]=08-07-2026&filter[duration]=13:16&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=40&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/06/FILERIMOS-VILLAGE.jpg","https://fly.pl/wycieczka/grecja,rodos,jalisos/filerimos-village/peYIJzn5IYb78v4LbNyOPeAAogBOaEXXGC9eFZlqwpYpzyzgAAAAAWwAQAL8AEAA4AAAAqBFdFWlkwl5CY0QZIhD9QQWADagtSeWFuYWlyIFN1bnJDngEfAAIBHAAWBBcJErIFFcwFGMgBE30UkAMRsxBAjWBQ8oIBSwBMmRJPABvGhQEdpOQPIBkN0c3BCQESYwENYwECDIpkoUY/?operator=WEZY&adults=2&children=2020-12-10&nsv=1&objectId=1156&transport=accommodation_flight&departureDate=2026-06-08&returnDate=2026-06-22&departureLocation=Pozna%C5%84&opt=delta&catering=all_inclusive"
"Evia Riviera Resort (ex. Amarynthos Resort) Grecja, Evia, Amarynthos","8209.0","10.06.2026 - 24.06.2026","15 dni/14 nocy","","","","","","Все аэропорты","2026-06-08T00:08:54.380190+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=08-06-2026&filter[whenTo]=08-07-2026&filter[duration]=13:16&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=40&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2018/03/Evia-Riviera-Resort.jpg","https://fly.pl/wycieczka/grecja,evia,amarynthos/amarynthos-resort/pC4Nu3Byrjwev10jsfAVH8AAog-TJfXMeA36nk34e991-v0O92KueIxuCIUa4dSG27EPwqBFJOQlcwl5CY0QZIkUBQAVgvYAJyBgIMYwECC1xdakM/?operator=RNBW&adults=2&children=2020-12-10&nsv=1&objectId=193812&transport=accommodation_flight&departureDate=2026-06-10&returnDate=2026-06-24&departureLocation=Pozna%C5%84&opt=delta&catering=all_inclusive"
"San Panteleimon Grecja, Riwiera Olimpijska, Neos Panteleimonas","8305.0","10.06.2026 - 24.06.2026","15 dni/14 nocy","","","","","","Все аэропорты","2026-06-08T00:08:54.380190+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=08-06-2026&filter[whenTo]=08-07-2026&filter[duration]=13:16&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=40&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2015/05/San-Panteleimon.jpg","https://fly.pl/wycieczka/grecja,riwiera-olimpijska,neos-panteleimonas/san-panteleimon/ppMBWEoo_dzMBm79v7IZvVAAogRk3zb5PUsIq_vBLCLOvZZXqJ6VfQEMsKTIZIO_CKgBcqBFJOQlcwl5CY0QZI8UBQAVgvYAJyBgIMYwECC2SN6to/?operator=RNBW&adults=2&children=2020-12-10&nsv=1&objectId=2448&transport=accommodation_flight&departureDate=2026-06-10&returnDate=2026-06-24&departureLocation=Wroc%C5%82aw&opt=delta&catering=all_inclusive"
"Kronos (Platamonas) Grecja, Riwiera Olimpijska, Platamonas","8423.0","10.06.2026 - 24.06.2026","15 dni/14 nocy","","","","","","Все аэропорты","2026-06-08T00:08:54.380190+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=08-06-2026&filter[whenTo]=08-07-2026&filter[duration]=13:16&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=40&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2015/06/Hotel-Kronos.jpg","https://fly.pl/wycieczka/grecja,riwiera-olimpijska,platamonas/kronos-platamonas/pBE1hwEGKwRYetFD5VzBzUAAog_ntJJfRnvPNH3F6STHw8aYcxcQbtxtjCYsIL0GCFPZYqBEdSQ1Mwl5CY0QZI50FQQVgvYANyQlwKFwQVAFgBVgIdtgIPE0CBBFuEgAFLlUxhAF6nMFKFHlMATNy-TQHYhjkNrufLCCAAUaWEucvnAQESYwECYwECC2af6Sg/?operator=GRCS&adults=2&children=2020-12-10&nsv=1&objectId=2412&transport=accommodation_flight&departureDate=2026-06-10&returnDate=2026-06-24&departureLocation=Katowice&opt=delta&catering=all_inclusive"
"Semiramis Village Grecja, Kreta, Hersonissos","8622.0","12.06.2026 - 26.06.2026","16 dni/14 nocy","","","","","","Все аэропорты","2026-06-08T00:08:54.380190+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=08-06-2026&filter[whenTo]=08-07-2026&filter[duration]=13:16&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=40&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/07/Semiramis-Village.jpg","https://fly.pl/wycieczka/grecja,kreta,hersonissos/semiramis-village/XTOP5ff08fX_wYAAHNOYVBwWQHWAQDdVw65CpABCgYI9ZkKEAESBgjEtgwQARp-TVBVVzJHRjIzTjFWNkpNVzVLSUdTOUdCMVBESFJTTEM5QUVXS1JJVkxGVUNWN1RVMjYwSEE4RkNJWEhNN0s5OFZBRjBHUjE3MkZCNjFaU0xENURGQUdSWk1DODRJUFdKRDYxSEpTR1NHR0hTUkNOWUNKVlY1OE82QVVKN1NMCr4BCgYI4q8HEAISBgj-uyUQARqrAU81NDU0NDg0MjJmMzYzMTMwMzkzOTNhMzQzNDM0MzUzNTMwMzIzMDM0MzYzNDM5MzUzNDM0NjUzNTMyMzQzNjMyNjQzMzMyMzMzMDMzMzIzMzM2MzM2MTMzMzQzMzMzMzMzNjJmNDQ0MjU0NWY0NzU2MmY0MTQ5MmYzMTM0MmYzMjMwMzIzNjMwMzYzMTMyMmYzMDMxMzIzMzM0MzUzNjM3MzgzOTMwMzEzMgokCgYI0IwBEAESBgjIqwEQARoSRFNSVC0xNjcwLVRSQU5TRkVSCiEKBQjMOhABEgUI80YQARoRRFNSTS0xNjcwLTJyMjM0ODkKIwoFCPJXEAESBQidaxABGhNEU1JVLTE2NzAtVWJlemJhc2ljGIYNKIIbMgYImtA0EAE4Aw/?operator=XTOP&adults=2&children=2020-12-10&nsv=1&objectId=4122&transport=accommodation_flight&departureDate=2026-06-12&returnDate=2026-06-26&departureLocation=Gda%C5%84sk&opt=delta&catering=all_inclusive"
"All Senses Nautica Blue Exclusive Resort & Spa (ex Aegean Breeze) Grecja, Rodos, Fanes","8881.0","08.06.2026 - 22.06.2026","15 dni/14 nocy","","","","","","Все аэропорты","2026-06-08T00:08:54.380190+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=08-06-2026&filter[whenTo]=08-07-2026&filter[duration]=13:16&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=40&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/11/Aegean-Breeze-Resort-ex-Medblue-Fanes-fly-pl.jpg","https://fly.pl/wycieczka/grecja,rodos,fanes/medblue-fanes-ex-nautica-blue/pCOnRZrshsqnQVLag2ftqEAAogBoE7Spt6Y_2QGpN3xua9ygAAAAAWwAQAL8AEAA4AAAAqBFdFWlkwl5CY0QZIsUVQQWADagtSeWFuYWlyIFN1bnJCngEfAAIBHAAWBBcJErIFFcwFGMgBE30UkANAwHAR8UJQgUBLAEyZEk8AG-G0AR2JtQ8gGQ3RzcEJARJjAQ5jAQINweWUqg/?operator=WEZY&adults=2&children=2020-12-10&nsv=1&objectId=13657&transport=accommodation_flight&departureDate=2026-06-08&returnDate=2026-06-22&departureLocation=Pozna%C5%84&opt=delta&catering=all_inclusive"
"Olympian Bay Grand Resort (ex. Bomo Olympus Grand Resort) Grecja, Riwiera Olimpijska, Leptokaria","8988.0","10.06.2026 - 24.06.2026","15 dni/14 nocy","","","","","","Все аэропорты","2026-06-08T00:08:54.380190+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=08-06-2026&filter[whenTo]=08-07-2026&filter[duration]=13:16&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=40&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/10/Olympian-Bay-Grand-Resort.jpg","https://fly.pl/wycieczka/grecja,riwiera-olimpijska,leptokaria/olympian-bay/pKbYd55stu392rYlR2DsxYAAogqopLDpPJk4SIA80zl5A2hHqJ6VfQEMsKTIZIO_CKgBcqBFJOQlcwl5CY0QZInEZQAVgvYAJyBgIMYwECC5mzpuw/?operator=RNBW&adults=2&children=2020-12-10&nsv=1&objectId=2396&transport=accommodation_flight&departureDate=2026-06-10&returnDate=2026-06-24&departureLocation=Wroc%C5%82aw&opt=delta&catering=all_inclusive"
"Aqua Sun Village (Ex. Eri Sun Village) Grecja, Kreta Wschodnia, Hersonissos","9096.0","10.06.2026 - 24.06.2026","15 dni/14 nocy","","","","","","Все аэропорты","2026-06-08T00:08:54.380190+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=08-06-2026&filter[whenTo]=08-07-2026&filter[duration]=13:16&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=40&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/11/Aqua-Sun-Village-Ex.-Eri-Sun-Village-fly-pl.jpg","https://fly.pl/wycieczka/grecja,kreta-wschodnia,hersonissos/eri-sun-village/pkAH8SBKFq3UjWagi0a-P-AAog_Qb27VxwNGktIqVWLC9TzQAAAACEfwQAl38EAA4AHQAqBFdFWlkwl5CY0QZIiEdQQVgvYANqCUVudGVyIEFpcmoEMDAzMGoEMDcyMHJBngGUAZUBHwACARwAFgQXCRLOAhiMBRPoBxHMJkuQQ1AAQPUHTIIvTwAbtZYCHay4DiATDevOwgkBEmMBC2MBAgqO8Oyt/?operator=WEZY&adults=2&children=2020-12-10&nsv=1&objectId=26777&transport=accommodation_flight&departureDate=2026-06-10&returnDate=2026-06-24&departureLocation=Bydgoszcz&opt=delta&catering=all_inclusive"
"Dafni Plus Grecja, Riwiera Olimpijska, Leptokaria","9210.0","10.06.2026 - 24.06.2026","15 dni/14 nocy","","","","","","Все аэропорты","2026-06-08T00:08:54.380190+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=08-06-2026&filter[whenTo]=08-07-2026&filter[duration]=13:16&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=40&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2018/11/Dafni-Plus.jpg","https://fly.pl/wycieczka/grecja,riwiera-olimpijska,leptokaria/dafni-plus/p8CM0w8FCm055RwvuP8dewAAogn7P1v9Vsx8DCIOBLm2va84cxcQbtxtjCYsIL0GCFPZYqBEdSQ1Mwl5CY0QZI-kdQQVgvYANyQlwKFwQVAFgBVgIdtgIPE0CBBFuWgAFLg0xhAF6nMFKFHlMATNy-TQG_iDkNx-XLCCAAUZHeo8vnAQESYwECYwECC03w9so/?operator=GRCS&adults=2&children=2020-12-10&nsv=1&objectId=199086&transport=accommodation_flight&departureDate=2026-06-10&returnDate=2026-06-24&departureLocation=Katowice&opt=delta&catering=all_inclusive"
"Dias Solimar Grecja, Kreta Zachodnia, Adelianos Kampos","9554.0","10.06.2026 - 25.06.2026","16 dni/14 nocy","","","","","","Все аэропорты","2026-06-08T00:08:54.380190+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=08-06-2026&filter[whenTo]=08-07-2026&filter[duration]=13:16&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=40&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2009/10/Dias-Solimar2779.jpg","https://fly.pl/wycieczka/grecja,kreta-zachodnia,adelianos-kampos/dias-solimar/pLmqS37fU3IJVvF6gIF_8QAAogiy8jhACSlRsprYLcLhvJ1IQnni8sAeg5EUbE_halx44qBEdSQ1Mwl5CY0QZI0kpQQVgvYANyQFwKFwUVAFgAVgId-AEPF0C7BFLjd1MAW7MIS4NMYQBepzBM4dxNAYi2OQ3-t8sIIABR6emhnWUBEmMBAmMBAgst3ntN/?operator=GRCS&adults=2&children=2020-12-10&nsv=1&objectId=26936&transport=accommodation_flight&departureDate=2026-06-10&returnDate=2026-06-25&departureLocation=Katowice&opt=delta&catering=all_inclusive"
