"hotel_name","price","dates","duration","rating","ta_rating","ta_review_count","ta_source","departure_airport","scraped_at","url","image_url","offer_url","filter_id","country","region","resort","departure_date","return_date","days","nights","origin_scope","pax_profile","departure_key"
"Kronos (Platamonas) Grecja, Riwiera Olimpijska, Platamonas","10139.0","08.07.2026 - 22.07.2026","15 dni/14 nocy","4.0","4.0","121","tripadvisor","Все аэропорты","2026-06-29T00:14:55.803658+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=29-06-2026&filter[whenTo]=29-07-2026&filter[duration]=13:16&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=40&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2015/06/Hotel-Kronos.jpg","https://fly.pl/wycieczka/grecja,riwiera-olimpijska,platamonas/kronos-platamonas/pQeSblizGEe89RbV4vj9x8AAog3nREBMiM4anpHPCVp_l1bytsiDAyHxyaliP-3DGU5A4qBEdSQ1MwgPKG0gZIm09QQVjXAWADckJcChcEFQBYAVYCHbECDxNAhgRbhIABS5VMYQBepzBShR5TAEzQxE0B7IA5DYjoywggAFHDg7nL5wEBEmMBAmMBAgvL57O6/?operator=GRCS&adults=2&children=2020-12-10&nsv=1&objectId=2412&transport=accommodation_flight&departureDate=2026-07-08&returnDate=2026-07-22&departureLocation=Katowice&opt=delta&catering=all_inclusive","filter_greece_13_16_days","grecja","riwiera-olimpijska","platamonas","2026-07-08","2026-07-22","15","14","Katowice","2+1","grecja|riwiera-olimpijska|2026-07-08|2026-07-22|14|Katowice|2+1"
"Dafni Plus Grecja, Riwiera Olimpijska, Leptokaria","10162.0","08.07.2026 - 22.07.2026","15 dni/14 nocy","4.5","4.5","39","tripadvisor","Все аэропорты","2026-06-29T00:14:55.803658+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=29-06-2026&filter[whenTo]=29-07-2026&filter[duration]=13:16&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=40&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2018/11/Dafni-Plus.jpg","https://fly.pl/wycieczka/grecja,riwiera-olimpijska,leptokaria/dafni-plus/p0AzzKMUtkxhwLb4hGq0b4AAogc5HDyHo1GbKLx5J8ZsT0vCtsiDAyHxyaliP-3DGU5A4qBEdSQ1MwgPKG0gZIsk9QQVjXAWADckJcChcEFQBYAVYCHbECDxNAhgRbloABS4NMYQBepzBShR5TAEzQxE0B04I5DaHmywggAFGv3aPL5wEBEmMBAmMBAgsrevGO/?operator=GRCS&adults=2&children=2020-12-10&nsv=1&objectId=199086&transport=accommodation_flight&departureDate=2026-07-08&returnDate=2026-07-22&departureLocation=Katowice&opt=delta&catering=all_inclusive","filter_greece_13_16_days","grecja","riwiera-olimpijska","leptokaria","2026-07-08","2026-07-22","15","14","Katowice","2+1","grecja|riwiera-olimpijska|2026-07-08|2026-07-22|14|Katowice|2+1"
"Thalassa Grecja, Grecja Środkowa, Paleros","10347.0","06.07.2026 - 20.07.2026","16 dni/14 nocy","3.8","3.8","184","tripadvisor","Все аэропорты","2026-06-29T00:14:55.803658+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=29-06-2026&filter[whenTo]=29-07-2026&filter[duration]=13:16&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=40&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://datacfstatic.merlinx.pl/GRCS/IMG/PVKTHSS/8c8e35b96675acf98d261995025011a445407aaef185238a60a78839afd05a8e.webp","https://fly.pl/wycieczka/grecja,grecja-srodkowa,paleros/thalassa-15/pajKZVodpUsdOsCPMY_1YhAAogHLrgWH_s_Bt9_oki-dB4y0LgJ1zbUmf0pzE5zh76Xg4qBEdSQ1MwgPKG0gZI61BQQVinAWADckNcChUEFwBYAVYCD8MBHcMBQMQDW5aAAUuDTGEAXqcwUuUCUwBM8t9NAauDPw3F5cUIIABR-q-L4tEBARJjAQJjAQILPR9e3w/?operator=GRCS&adults=2&children=2020-12-10&nsv=1&objectId=226012&transport=accommodation_flight&departureDate=2026-07-06&returnDate=2026-07-20&departureLocation=Katowice&opt=delta&catering=all_inclusive","filter_greece_13_16_days","grecja","grecja-srodkowa","paleros","2026-07-06","2026-07-20","16","14","Katowice","2+1","grecja|grecja-srodkowa|2026-07-06|2026-07-20|14|Katowice|2+1"
"Ilyssion Grecja, Rodos, Pefki","10651.0","02.07.2026 - 15.07.2026","14 dni/13 nocy","3.0","3.0","664","tripadvisor","Все аэропорты","2026-06-29T00:14:55.803658+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=29-06-2026&filter[whenTo]=29-07-2026&filter[duration]=13:16&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=40&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/11/Ilyssion.jpg","https://fly.pl/wycieczka/grecja,rodos,pefki/ilyssion/p6Rr86Y1BrSoNyH7NDH886AAogDN3QdvZUAwH4UYKvJ232Zh4eck-E4wmH4UV7wvh7k2gqBEVDQ1gwgPKG0gZIm1NQAVhHYAJqAkFJciAcEcwCuQT1vBWrBAUYuMQlG8rbBgG769jFAQISYwECC7GRmWA/?operator=ECCX&adults=2&children=2020-12-10&nsv=1&objectId=2297&transport=accommodation_flight&departureDate=2026-07-02&returnDate=2026-07-15&departureLocation=Krak%C3%B3w&opt=delta&catering=all_inclusive","filter_greece_13_16_days","grecja","rodos","pefki","2026-07-02","2026-07-15","14","13","Kraków","2+1","grecja|rodos|2026-07-02|2026-07-15|13|Kraków|2+1"
"Blue Princess Beach (ex. Elly Beach) Grecja, Korfu, Liapades","10896.0","04.07.2026 - 19.07.2026","16 dni/14 nocy","3.5","3.5","383","tripadvisor","Все аэропорты","2026-06-29T00:14:55.803658+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=29-06-2026&filter[whenTo]=29-07-2026&filter[duration]=13:16&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=40&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/06/Hotel-Blue-Princess-Beach.jpg","https://fly.pl/wycieczka/grecja,korfu,liapades/blue-princess-beach/plbWCttgZlp4WG5wjHANodAAogZCR1Xt7AvomVYOEMo6-aeYAbfNXEn4E1zniGjF-7vyQqBEdSQ1MwgPKG0gZIkFVQQVh3YANyQFwKFwUVAFgAVgId-AQPGkC4AVvIcVLXBVMAS_pUYQBepzBM1uJNAcGeMg2uytIIIABRz6rh5mQBEmMBAmMBAgtrlRUg/?operator=GRCS&adults=2&children=2020-12-10&nsv=1&objectId=141433&transport=accommodation_flight&departureDate=2026-07-04&returnDate=2026-07-19&departureLocation=Katowice&opt=delta&catering=all_inclusive","filter_greece_13_16_days","grecja","korfu","liapades","2026-07-04","2026-07-19","16","14","Katowice","2+1","grecja|korfu|2026-07-04|2026-07-19|14|Katowice|2+1"
"Eri Beach Grecja, Kreta Wschodnia, Hersonissos","11219.0","30.06.2026 - 14.07.2026","15 dni/14 nocy","3.1","3.1","816","tripadvisor","Все аэропорты","2026-06-29T00:14:55.803658+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=29-06-2026&filter[whenTo]=29-07-2026&filter[duration]=13:16&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=40&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://datacfstatic.merlinx.pl/OREX/IMG/1150/7d70de9ab65d01cbbc05ce2f702c1170a6a16fc518842f815e419901c4c0cca5.webp","https://fly.pl/wycieczka/grecja,kreta-wschodnia,hersonissos/eri-beach-12/pYSPKfPWH0OgLgBTTXJx-TAAogmTYAjcNbZHQWBuT8ef1qlqh25kbXBVmn4fKR80RiH0cqBE9SRVgwgPKG0gZI01dQQVgXYAJqB0JMTi4yLjFqAzAzWWoDMDRZcjWbAZ0BjwFcChcEFQBYAVYCQMoGEaMCU6WnAVIAS9EiYQBepzBM0tA6IKn6lwkNAAISYwEFCrT3ngQ/?operator=OREX&adults=2&children=2020-12-10&nsv=1&objectId=226972&transport=accommodation_flight&departureDate=2026-06-30&returnDate=2026-07-14&departureLocation=Katowice&opt=delta&catering=all_inclusive","filter_greece_13_16_days","grecja","kreta-wschodnia","hersonissos","2026-06-30","2026-07-14","15","14","Katowice","2+1","grecja|kreta-wschodnia|2026-06-30|2026-07-14|14|Katowice|2+1"
"Eri Village Grecja, Kreta Zachodnia, Hersonissos","11219.0","30.06.2026 - 14.07.2026","15 dni/14 nocy","","","","","Все аэропорты","2026-06-29T00:14:55.803658+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=29-06-2026&filter[whenTo]=29-07-2026&filter[duration]=13:16&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=40&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://datacfstatic.merlinx.pl/OREX/IMG/7118/3727f247f3bc34f6379b2a0ce4425b14fc94fb5da75d13b39ce337407f9516d9.webp","https://fly.pl/wycieczka/grecja,kreta-zachodnia,hersonissos/eri-village-9/pioPKf__uh0dNQjd6w_TxKAAogCwFxZJ8vsZjQAM6dnCco_qh25kbXBVmn4fKR80RiH0cqBE9SRVgwgPKG0gZI01dQQVgXYAJqB0JMTi4yLjFqAzAzWWoDMDRZcjSbAZ0BjwFcChcEFQBYAVYCQMoGEfMwU9V4UgBL0SJhAF6nMEzS0DogqfqXCQ0AAhJjAQUKF912tg/?operator=OREX&adults=2&children=2020-12-10&nsv=1&objectId=226770&transport=accommodation_flight&departureDate=2026-06-30&returnDate=2026-07-14&departureLocation=Katowice&opt=delta&catering=all_inclusive","filter_greece_13_16_days","grecja","kreta-zachodnia","hersonissos","2026-06-30","2026-07-14","15","14","Katowice","2+1","grecja|kreta-zachodnia|2026-06-30|2026-07-14|14|Katowice|2+1"
"Lardos Bay Grecja, Rodos, Lardos","11308.0","03.07.2026 - 17.07.2026","15 dni/14 nocy","3.5","3.5","923","tripadvisor","Все аэропорты","2026-06-29T00:14:55.803658+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=29-06-2026&filter[whenTo]=29-07-2026&filter[duration]=13:16&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=40&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2015/04/Hotel-Lardos-Bay.jpg","https://fly.pl/wycieczka/grecja,rodos,lardos/lardos-bay/peh7eUQ_A6q92xtUyNlsdKAAogvrab3Dbd1It450jIxKiheTmiODofYI6eh5ZpMQtumO4qBEdSQ1MwgPKG0gZIrFhQQVhfYANyQFwLFwMVAFgBVgIdvAZADg8NW4mAAV6qfEt4YQBSmRJTAEzGz00BpNMyDcmV0gggAFGv2LLt3gEBEmMBAmMBAgwcFTMa/?operator=GRCS&adults=2&children=2020-12-10&nsv=1&objectId=26096&transport=accommodation_flight&departureDate=2026-07-03&returnDate=2026-07-17&departureLocation=Pozna%C5%84&opt=delta&catering=all_inclusive","filter_greece_13_16_days","grecja","rodos","lardos","2026-07-03","2026-07-17","15","14","Poznań","2+1","grecja|rodos|2026-07-03|2026-07-17|14|Poznań|2+1"
"Costa Konte Beach Resort Grecja, Rodos, Jennadi","11650.0","13.07.2026 - 27.07.2026","15 dni/14 nocy","","","","","Все аэропорты","2026-06-29T00:14:55.803658+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=29-06-2026&filter[whenTo]=29-07-2026&filter[duration]=13:16&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=40&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://datacfstatic.merlinx.pl/RNBW/IMG/8726/46f728e70324079c8c64aae3d4901d4e569294753781974a949593e5a02c3bc0.webp","https://fly.pl/wycieczka/grecja,rodos,jennadi/costa-konte-beach-resort-13/pv0KDFMeYI5_ehk-7DX0MfAAogAx-5n0pz7zrU-cbhFhKo4eZJJ2yUOxxS6Zn3XaBoP68qBFJOQlcwgPKG0gZIgltQQVjPAmACagRCd2NEahcyOTYsMzgwLDQ3Nyw0ODMsNDg0LDQ4NXI1nwGeARUOFwBYAQoEQMQHEb88GZYbELZmYbE-SwBSmRJTAA_JjEAdKyDJq5IJDQACDGMBAgu6IPQj/?operator=RNBW&adults=2&children=2020-12-10&nsv=1&objectId=234567&transport=accommodation_flight&departureDate=2026-07-13&returnDate=2026-07-27&departureLocation=Pozna%C5%84&opt=delta&catering=all_inclusive","filter_greece_13_16_days","grecja","rodos","jennadi","2026-07-13","2026-07-27","15","14","Poznań","2+1","grecja|rodos|2026-07-13|2026-07-27|14|Poznań|2+1"
"Maistrali (Tragaki) Grecja, Zakynthos, Tragaki","11847.0","03.07.2026 - 17.07.2026","15 dni/14 nocy","4.4","4.4","425","tripadvisor","Все аэропорты","2026-06-29T00:14:55.803658+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=29-06-2026&filter[whenTo]=29-07-2026&filter[duration]=13:16&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=40&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2017/09/Maistrali-Tragaki-fly-pl-4.jpg","https://fly.pl/wycieczka/grecja,zakynthos,tragaki/maistrali-tragaki/p_SNvwQsBIQM9bdOVB2QvUAAogrTY8QBrFN2gKd0d_YhlW8tNPRo2_gN3jxMFYBVHEa6IqBEdSQ1MwgPKG0gZIx1xQQVhfYANyQVwKFwQVAFgBVgIdYw8bQMwFW5aAAUv6HmEAXrBdUrpnUwBMm_tMAY-YPA3g0MgIIABR5djIsaICARJjAQJjAQILrIMPsg/?operator=GRCS&adults=2&children=2020-12-10&nsv=1&objectId=171674&transport=accommodation_flight&departureDate=2026-07-03&returnDate=2026-07-17&departureLocation=Gda%C5%84sk&opt=delta&catering=all_inclusive","filter_greece_13_16_days","grecja","zakynthos","tragaki","2026-07-03","2026-07-17","15","14","Gdańsk","2+1","grecja|zakynthos|2026-07-03|2026-07-17|14|Gdańsk|2+1"
