"hotel_name","price","dates","duration","rating","ta_rating","ta_review_count","ta_source","departure_airport","scraped_at","url","image_url","offer_url","filter_id","country","region","resort","departure_date","return_date","days","nights","origin_scope","pax_profile","departure_key"
"All Senses Nautica Blue Exclusive Resort & Spa (ex Aegean Breeze) Grecja, Rodos, Fanes","5541.0","08.06.2026 - 15.06.2026","8 dni/7 nocy","","","","","Все аэропорты","2026-06-08T00:07:42.886868+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=08-06-2026&filter[whenTo]=08-07-2026&filter[duration]=7:10&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/11/Aegean-Breeze-Resort-ex-Medblue-Fanes-fly-pl.jpg","https://fly.pl/wycieczka/grecja,rodos,fanes/medblue-fanes-ex-nautica-blue/p_I_r7t144qIJZoJbVrCX5AAogBoE7Spt6Y_2QGpN3xua9ygAAAABZwAQAbsAEAAcAAAAqBFdFWlkwz4-Y0QZIpStQQWADagtSeWFuYWlyIFN1bmoEMDY1NWoEMDgzMHJBngGVAZgBHwACARwAFgQXAhKbBBPQAxTPAkDgdhHxQkyaUk8AS_4EUAAb468BHcy1DyAVDZLNwQkBEmMBDmMBAg0zU4y3/?operator=WEZY&adults=2&children=2020-12-10&nsv=1&objectId=13657&transport=accommodation_flight&departureDate=2026-06-08&returnDate=2026-06-15&departureLocation=Rzesz%C3%B3w&opt=delta&catering=all_inclusive","filter_greece_7_10_days","grecja","rodos","fanes","2026-06-08","2026-06-15","8","7","Rzeszów","2+1","grecja|rodos|2026-06-08|2026-06-15|7|Rzeszów|2+1"
"Xenios Anastasia Resort & Spa (ex. Anastasia Resort & Spa) Grecja, Chalkidiki, Nea Skioni","5597.0","13.06.2026 - 20.06.2026","8 dni/7 nocy","","","","","Все аэропорты","2026-06-08T00:07:42.886868+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=08-06-2026&filter[whenTo]=08-07-2026&filter[duration]=7:10&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2015/02/Anastasia-Resort-Spa-fly-pl.jpg","https://fly.pl/wycieczka/grecja,chalkidiki,nea-skioni/anastasia-resort-spa/pyrKX1h-sxY7AW00ZyaNV_AAog4k9KXAPoXACCpLNsijWcFmhzOe3LuVEcCvP3c0G7k2MqBFJOQlcwz4-Y0QZI3StQAVh3YAJyBgIMYwECC2KraBo/?operator=RNBW&adults=2&children=2020-12-10&nsv=1&objectId=158919&transport=accommodation_flight&departureDate=2026-06-13&returnDate=2026-06-20&departureLocation=Pozna%C5%84&opt=delta&catering=all_inclusive","filter_greece_7_10_days","grecja","chalkidiki","nea-skioni","2026-06-13","2026-06-20","8","7","Poznań","2+1","grecja|chalkidiki|2026-06-13|2026-06-20|7|Poznań|2+1"
"Elinotel Sermilia Resort (ex. Bomo Cronwell Sermilia) Grecja, Chalkidiki, Psakoudia","5654.0","13.06.2026 - 20.06.2026","8 dni/7 nocy","","","","","Все аэропорты","2026-06-08T00:07:42.886868+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=08-06-2026&filter[whenTo]=08-07-2026&filter[duration]=7:10&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2015/06/ace51f02b6f338f488ef08630ea127c1256fa3044b889314275e4a932f9fc24a.jpg","https://fly.pl/wycieczka/grecja,chalkidiki,psakoudia/cronwell-sermilia-resort/pQFJfXUpzLbJm8NGk9DLnGAAogfKtNIZlLRa0zcDc_LjbzkWhzOe3LuVEcCvP3c0G7k2MqBFJOQlcwz4-Y0QZIlixQAVh3YAJyBgIMYwECC0Fpkak/?operator=RNBW&adults=2&children=2020-12-10&nsv=1&objectId=173326&transport=accommodation_flight&departureDate=2026-06-13&returnDate=2026-06-20&departureLocation=Pozna%C5%84&opt=delta&catering=all_inclusive","filter_greece_7_10_days","grecja","chalkidiki","psakoudia","2026-06-13","2026-06-20","8","7","Poznań","2+1","grecja|chalkidiki|2026-06-13|2026-06-20|7|Poznań|2+1"
"Valis Resort Grecja, Tesalia, Agria","5996.0","10.06.2026 - 17.06.2026","8 dni/7 nocy","","","","","Все аэропорты","2026-06-08T00:07:42.886868+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=08-06-2026&filter[whenTo]=08-07-2026&filter[duration]=7:10&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://datacfstatic.merlinx.pl/RNBW/IMG/8759/2b8ed3b6f4e85c2410458d2a2f682b00a2214b389f8ea62aef38cc3a24cd772b.webp","https://fly.pl/wycieczka/grecja,tesalia,agria/valis-resort-12/pK7kSvhqPmcg-hyfC5-o5QAAogZJnCjWPHClT8U5_yDFQBT5oBL-8xgQigYBDYObw9dQoqBFJOQlcwz4-Y0QZI7C5QAVgvYAJyBgIMYwECC8DvRC0/?operator=RNBW&adults=2&children=2020-12-10&nsv=1&objectId=234572&transport=accommodation_flight&departureDate=2026-06-10&returnDate=2026-06-17&departureLocation=Katowice&opt=delta&catering=all_inclusive","filter_greece_7_10_days","grecja","tesalia","agria","2026-06-10","2026-06-17","8","7","Katowice","2+1","grecja|tesalia|2026-06-10|2026-06-17|7|Katowice|2+1"
"Eretria Hotel & Spa Resort (ex. Eretria Village) Grecja, Evia, Eretria","6660.0","10.06.2026 - 17.06.2026","8 dni/7 nocy","","","","","Все аэропорты","2026-06-08T00:07:42.886868+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=08-06-2026&filter[whenTo]=08-07-2026&filter[duration]=7:10&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/11/Hotel-Eretria-Spa-Resort.jpg","https://fly.pl/wycieczka/grecja,evia,eretria/eretria-village/pypy21RYrWE157n6JTeS-rAAogB8Mm7YZjDD0vGbTlWpjs_q7zw3KLsxHj0_uSEw8sHZ8qBEdSQ1Mwz4-Y0QZIhDRQQVgvYANyPxcHFQBYCFYCXAIdrgYPE0AHUupmUwBbugpenIsBS3hhAEzp200B5aY3DaHHzQggAFGIhJHUVwESYwECYwECC3F3fQc/?operator=GRCS&adults=2&children=2020-12-10&nsv=1&objectId=2279&transport=accommodation_flight&departureDate=2026-06-10&returnDate=2026-06-17&departureLocation=Pozna%C5%84&opt=delta&catering=all_inclusive","filter_greece_7_10_days","grecja","evia","eretria","2026-06-10","2026-06-17","8","7","Poznań","2+1","grecja|evia|2026-06-10|2026-06-17|7|Poznań|2+1"
"Serita Beach Grecja, Kreta Wschodnia, Anissaras","7183.0","10.06.2026 - 17.06.2026","8 dni/7 nocy","","","","","Все аэропорты","2026-06-08T00:07:42.886868+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=08-06-2026&filter[whenTo]=08-07-2026&filter[duration]=7:10&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2015/04/Serita-Beach.jpg","https://fly.pl/wycieczka/grecja,kreta-wschodnia,anissaras/mitsis-serita-beach/pgV74MRnAptsg6LJKbFum9AAog1u7dD6DFt0K6mbNDhCM7n8qbFNXR1Wk6Gz5FW_uJx7kqBFJOQlcwz4-Y0QZIjzhQAVgvYAJyBgIMYwECC5Y74Ng/?operator=RNBW&adults=2&children=2020-12-10&nsv=1&objectId=2433&transport=accommodation_flight&departureDate=2026-06-10&returnDate=2026-06-17&departureLocation=Lublin&opt=delta&catering=all_inclusive","filter_greece_7_10_days","grecja","kreta-wschodnia","anissaras","2026-06-10","2026-06-17","8","7","Lublin","2+1","grecja|kreta-wschodnia|2026-06-10|2026-06-17|7|Lublin|2+1"
"Filion Suites Resort Grecja, Kreta Wschodnia, Bali","7405.0","12.06.2026 - 19.06.2026","8 dni/7 nocy","","","","","Все аэропорты","2026-06-08T00:07:42.886868+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=08-06-2026&filter[whenTo]=08-07-2026&filter[duration]=7:10&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://datacfstatic.merlinx.pl/XTOP/IMG/19190/f0fe9c825dee482d737a2f2098449583683d95aa31760fdd2dde09d026831c09.webp","https://fly.pl/wycieczka/grecja,kreta-wschodnia,bali/filion-suites-resort/XTOPbedc64X_wYAAHNOYVBwWQG6AQBqMw-7CpABCgYImcULEAESBgiJhA4QARp-TVBVVzJHRjIzTjFWNkpNVzVLSUdTOUdCMVBESFJTTEM5QUVXS1JJVkxGVUJUWjA3RFlETFdOTVJIV0wzMTZXMUM5OFNFUE5USVcxS1g1OVBHWFdQUldCN0VGRVVONUJZQkszV1Y3UkVUWDNFQklTQ0JEM1I2QThKNTdYTjZDCqIBCgYIhNYFEAISBgjC6RwQARqPAU81NDU0NDg0MjJmMzEzMjM1MzYzMDMyM2EzNDM2MzQzOTM1MzQzMjMwMzMzMjMzMzAzMzMyMzMzNjMzNjEzMzM0MzMzMzMzMzYyZjQ0NDI1NDVmNTM1NTJmNDE0OTJmMzcyZjMyMzAzMjM2MzAzNjMxMzIyZjMwMzEzMjMzMzQzNTM2MzczODM5MzAzMTMyCiQKBgjQjAEQARIGCMirARABGhJEU1JULTE2NzAtVFJBTlNGRVIKIQoFCMw6EAESBQjzRhABGhFEU1JNLTE2NzAtMnIyMzQ4OQojCgUI8C4QARIFCJg5EAEaE0RTUlUtMTY3MC1VYmV6YmFzaWMYhg0ohRsyBgiemS0QATgD/?operator=XTOP&adults=2&children=2020-12-10&nsv=1&objectId=19190&transport=accommodation_flight&departureDate=2026-06-12&returnDate=2026-06-19&departureLocation=Krak%C3%B3w&opt=delta&catering=all_inclusive","filter_greece_7_10_days","grecja","kreta-wschodnia","bali","2026-06-12","2026-06-19","8","7","Kraków","2+1","grecja|kreta-wschodnia|2026-06-12|2026-06-19|7|Kraków|2+1"
"Azure Resort & Spa (ex. Mediterranee) Grecja, Zakynthos, Planos","7657.0","09.06.2026 - 16.06.2026","8 dni/7 nocy","","","","","Все аэропорты","2026-06-08T00:07:42.886868+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=08-06-2026&filter[whenTo]=08-07-2026&filter[duration]=7:10&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/09/Azure-Resort-Spa-ex.-Mediterranee-fly-pl.jpg","https://fly.pl/wycieczka/grecja,zakynthos,planos/mediterranee-planos/pV_hIrQglfAmzXqtUpRocNAAog0clYS-ulxb-HTVLU9mRNKsKnesviOCEXKpb6aICo-JEqBFZJVFgwz4-Y0QZI6TtQQVgXYAJyQBoAFQcXAFwDWAVAjwNbv4MBS8NLYVRepzBSumdTAEy2hzkN9tuYCSAAXfXxhamoAU_c0r6IelHYtBICDmMBAg3nJwY8/?operator=VITX&adults=2&children=2020-12-10&nsv=1&objectId=2427&transport=accommodation_flight&departureDate=2026-06-09&returnDate=2026-06-16&departureLocation=Krak%C3%B3w&opt=delta&catering=all_inclusive","filter_greece_7_10_days","grecja","zakynthos","planos","2026-06-09","2026-06-16","8","7","Kraków","2+1","grecja|zakynthos|2026-06-09|2026-06-16|7|Kraków|2+1"
"Labranda Sandy Beach (ex Aquis Sandy Beach) Grecja, Korfu, Agios Georgios","7714.0","10.06.2026 - 17.06.2026","9 dni/7 nocy","","","","","Все аэропорты","2026-06-08T00:07:42.886868+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=08-06-2026&filter[whenTo]=08-07-2026&filter[duration]=7:10&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/06/LABRANDA-Sandy-Beach-Resort.jpg","https://fly.pl/wycieczka/grecja,korfu,agios-georgios/aquis-sandy-beach-resort-agios-georgios/pb0JPgER3mQBqEPxlnt3HwAAogjxg3ZG5LWtmAzzmZmDNQYhzUkkL5W2fy0GaQ5E0Xob4qBFJOQlcwz4-Y0QZIojxQAVgvYAJyBgIMYwECC9c-v2g/?operator=RNBW&adults=2&children=2020-12-10&nsv=1&objectId=2366&transport=accommodation_flight&departureDate=2026-06-10&returnDate=2026-06-17&departureLocation=Gda%C5%84sk&opt=delta&catering=all_inclusive","filter_greece_7_10_days","grecja","korfu","agios-georgios","2026-06-10","2026-06-17","9","7","Gdańsk","2+1","grecja|korfu|2026-06-10|2026-06-17|7|Gdańsk|2+1"
"Natura Park Village Grecja, Kos, Psalidi","7757.0","09.06.2026 - 16.06.2026","8 dni/7 nocy","","","","","Все аэропорты","2026-06-08T00:07:42.886868+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=08-06-2026&filter[whenTo]=08-07-2026&filter[duration]=7:10&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2017/09/Natura-Park-Village.jpg","https://fly.pl/wycieczka/grecja,kos,psalidi/natura-park-village/pw6YYDTON1BF_P2qBd6cC8AAogmRquAOsUIW3klVxq5ib7dcA_h9hfe5AktHMKNYFM_cIqBFJOQlcwz4-Y0QZIzTxQAVgXYAJyBgIMYwEFCxakfDE/?operator=RNBW&adults=2&children=2020-12-10&nsv=1&objectId=12330&transport=accommodation_flight&departureDate=2026-06-09&returnDate=2026-06-16&departureLocation=Katowice&opt=delta&catering=all_inclusive","filter_greece_7_10_days","grecja","kos","psalidi","2026-06-09","2026-06-16","8","7","Katowice","2+1","grecja|kos|2026-06-09|2026-06-16|7|Katowice|2+1"
