"hotel_name","price","dates","duration","rating","departure_airport","scraped_at","url","image_url","offer_url"
"Xenios Anastasia Resort & Spa (ex. Anastasia Resort & Spa) Grecja, Chalkidiki, Nea Skioni","5575.0","06.06.2026 - 13.06.2026","8 dni/7 nocy","","Все аэропорты","2026-05-31T11:58:20.059861+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=31-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2015/02/Anastasia-Resort-Spa-fly-pl.jpg","https://fly.pl/wycieczka/grecja,chalkidiki,nea-skioni/anastasia-resort-spa/p8bUdtnewviaoV1S0M_VXHAAogFWU1rs5QewoK2f8KFqRaXIsXRe2Ki5r5yc7XvyYgnxwqBFJOQlcw3MTw0AZIxytQAViEAWACcgYCDGMBAgtLNAfc/?operator=RNBW&adults=2&children=2020-12-10&nsv=1&objectId=158919&transport=accommodation_flight&departureDate=2026-06-06&returnDate=2026-06-13&departureLocation=Pozna%C5%84&opt=delta&catering=all_inclusive"
"Elinotel Sermilia Resort (ex. Bomo Cronwell Sermilia) Grecja, Chalkidiki, Psakoudia","6053.0","03.06.2026 - 10.06.2026","8 dni/7 nocy","","Все аэропорты","2026-05-31T11:58:20.059861+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=31-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2015/06/ace51f02b6f338f488ef08630ea127c1256fa3044b889314275e4a932f9fc24a.jpg","https://fly.pl/wycieczka/grecja,chalkidiki,psakoudia/cronwell-sermilia-resort/pBFpV-xPBREFL73kPjqliFAAogXWPkJr25i59gkPo5WI__GDliOLtEYPpeZcb_I8ZkTwMqBFJOQlcw3MTw0AZIpS9QAVg8YAJyBgIMYwECCxXcTaY/?operator=RNBW&adults=2&children=2020-12-10&nsv=1&objectId=173326&transport=accommodation_flight&departureDate=2026-06-03&returnDate=2026-06-10&departureLocation=Wroc%C5%82aw&opt=delta&catering=all_inclusive"
"Valis Resort Grecja, Tesalia, Agria","6663.0","10.06.2026 - 17.06.2026","8 dni/7 nocy","","Все аэропорты","2026-05-31T11:58:20.059861+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=31-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://datacfstatic.merlinx.pl/RNBW/IMG/8759/2b8ed3b6f4e85c2410458d2a2f682b00a2214b389f8ea62aef38cc3a24cd772b.webp","https://fly.pl/wycieczka/grecja,tesalia,agria/valis-resort-12/pK7kSvhqPmcg-hyfC5-o5QAAogZJnCjWPHClT8U5_yDFQBT5oBL-8xgQigYBDYObw9dQoqBFJOQlcw3MTw0AZIhzRQAVjkAWACcgYCDGMBAgvCtNvj/?operator=RNBW&adults=2&children=2020-12-10&nsv=1&objectId=234572&transport=accommodation_flight&departureDate=2026-06-10&returnDate=2026-06-17&departureLocation=Katowice&opt=delta&catering=all_inclusive"
"All Senses Nautica Blue Exclusive Resort & Spa (ex Aegean Breeze) Grecja, Rodos, Fanes","6702.0","08.06.2026 - 15.06.2026","8 dni/7 nocy","","Все аэропорты","2026-05-31T11:58:20.059861+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=31-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/11/Aegean-Breeze-Resort-ex-Medblue-Fanes-fly-pl.jpg","https://fly.pl/wycieczka/grecja,rodos,fanes/medblue-fanes-ex-nautica-blue/pLZGGB7r8CnTfAyjC6QL38AAogXfw5hK5M2yJExRACbBKRy5P27FQONymvSu-B1fj4fZgqBEJWUFIw3MTw0AZIrjRQAVi0AWADag1BbGwgaW5jbHVzaXZlciMcEaZUG_-nBRiOxg2rBLeFFLkEJAH16efUAQESYwEAYwECC-54if8/?operator=BVPR&adults=2&children=2020-12-10&nsv=1&objectId=13657&transport=accommodation_flight&departureDate=2026-06-08&returnDate=2026-06-15&departureLocation=Warszawa-Modlin&opt=delta&catering=all_inclusive"
"Kipriotis Maris Suites (ex Iberostar) Grecja, Kos, Psalidi","6737.0","06.06.2026 - 13.06.2026","8 dni/7 nocy","","Все аэропорты","2026-05-31T11:58:20.059861+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=31-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2016/01/Kipriotis-Maris-Suites-ex-Iberostar-fly-pl.jpg","https://fly.pl/wycieczka/grecja,kos,psalidi/kipriotis-maris-suites-ex-iberostar/pax7bfvgasTZVOmqpdZZ2CAAogGt-qiw-D-4Zty6r_ddVxyCljo88ZPLe_VwzOxCOiH5cqBFJOQlcw3MTw0AZI0TRQAViEAWACcgYCDmMBAg03j9Jh/?operator=RNBW&adults=2&children=2020-12-10&nsv=1&objectId=19515&transport=accommodation_flight&departureDate=2026-06-06&returnDate=2026-06-13&departureLocation=Gda%C5%84sk&opt=delta&catering=all_inclusive"
"Serita Beach Grecja, Kreta Wschodnia, Anissaras","6908.0","03.06.2026 - 11.06.2026","9 dni/7 nocy","","Все аэропорты","2026-05-31T11:58:20.059861+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=31-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2015/04/Serita-Beach.jpg","https://fly.pl/wycieczka/grecja,kreta-wschodnia,anissaras/mitsis-serita-beach/prAkPec2TK-RhMrzzQF-uMAAogmi9wR2Nt8yha2nvRs2_plljl7egBEmNN-UBrtj8K1IAqBFJOQlcw3MTw0AZI_DVQAVg8YAJyBgIMYwECC4SzcX4/?operator=RNBW&adults=2&children=2020-12-10&nsv=1&objectId=2433&transport=accommodation_flight&departureDate=2026-06-03&returnDate=2026-06-11&departureLocation=Pozna%C5%84&opt=delta&catering=all_inclusive"
"Zante Park Resort & SPA - BW Premier Collection Grecja, Zakynthos, Laganas","7457.0","07.06.2026 - 14.06.2026","8 dni/7 nocy","","Все аэропорты","2026-05-31T11:58:20.059861+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=31-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/07/Best-Western-Zante-Park-fly-pl.jpg","https://fly.pl/wycieczka/grecja,zakynthos,laganas/best-western-zante-park/p0n1O5FTErWPzMs6xCn_tBAAogzal74kjyRaOhRxTMgDX9_aw40EbQhGPzVZUfCbE80EUqBFZJVFgw3MTw0AZIoTpQQVicAWACckAaABUHFwBcA1gFQI8DW7-DAWGXTEsAXqcwUrpnUwBMlIc5DZbcmAkgAF34mansqAFP3KqbxXlR7dwMAgxjAQILEwvqiQ/?operator=VITX&adults=2&children=2020-12-10&nsv=1&objectId=2463&transport=accommodation_flight&departureDate=2026-06-07&returnDate=2026-06-14&departureLocation=Katowice&opt=delta&catering=all_inclusive"
"Galini Palace Grecja, Kreta Zachodnia, Kolymvari","7537.0","03.06.2026 - 11.06.2026","9 dni/7 nocy","","Все аэропорты","2026-05-31T11:58:20.059861+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=31-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2019/08/Galini-Palace-fly-pl.jpg","https://fly.pl/wycieczka/grecja,kreta-zachodnia,kolymvari/galini-palace-12/pP2QLPze39r91uEw7UfjMAAAogEauccdSBno6NMmnTnaCwbHF7T3kPv1cyip-8Nx_-7sIqBEdSQ1Mw3MTw0AZI8TpQQVg8YANyQBcIFQBcAlgFVgId9wEPFkC9BFLjd1MAW7MIS4NMYQBepzBMweNNAdGwOQ3OtssIIABRq-GpnWUBEmMBAmMBAg00OHKy/?operator=GRCS&adults=2&children=2020-12-10&nsv=1&objectId=203675&transport=accommodation_flight&departureDate=2026-06-03&returnDate=2026-06-11&departureLocation=Katowice&opt=delta&catering=all_inclusive"
"Gaia Palace Grecja, Kos, Mastichari","7537.0","06.06.2026 - 13.06.2026","8 dni/7 nocy","","Все аэропорты","2026-05-31T11:58:20.059861+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=31-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2009/10/Gaia-Palace2994.jpg","https://fly.pl/wycieczka/grecja,kos,mastichari/gaia-palace/pmtO5YTaLyWxWyf6RZkMfjAAogeaiDOc3DqnvmMqL0jdidTQAAAADtgAQACIEEAAcAHQAqBFdFWlkw3MTw0AZI8TpQQViEAWADaglFbnRlciBBaXJqBDA5MzVqBDA2MTVqBDA4MjVyQJ4BkwGVAZgBHwAcAQIAFgQXAhLtAxTDBhHOKkCcTEz7TU8AS-x3UAAd5boPIBsb9qRkDYCn3ggBEmMBDGMBAgbV02_K/?operator=WEZY&adults=2&children=2020-12-10&nsv=1&objectId=18093&transport=accommodation_flight&departureDate=2026-06-06&returnDate=2026-06-13&departureLocation=Warszawa+-+Ok%C4%99cie&opt=delta&catering=all_inclusive"
"Rodos Palace Grecja, Rodos, Ixia","7557.0","05.06.2026 - 13.06.2026","9 dni/7 nocy","","Все аэропорты","2026-05-31T11:58:20.059861+00:00","https://fly.pl/oferta/grecja-wczasy/?filter[dest]=14:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=31-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/07/Rodos-Palace.jpg","https://fly.pl/wycieczka/grecja,rodos,ixia/rodos-palace/pox5Ch6gd4FhEWIaBz1fJIAAogqewI3cT-xKLXdJyZHvscpLMrtiZo2_w9g74ZNtAGwCIqBFZJVFgw3MTw0AZIhTtQQVhsYAJyQBoAFQcXAFwDWAVAjwNbl4UBYb9KSwBepzBSkRNTAEy92zkNlNyYCSAAXbW-keyoAU-g9J-BNlHavxMCDGMBAgsgWzlN/?operator=VITX&adults=2&children=2020-12-10&nsv=1&objectId=4119&transport=accommodation_flight&departureDate=2026-06-05&returnDate=2026-06-13&departureLocation=Katowice&opt=delta&catering=all_inclusive"
