"hotel_name","price","dates","duration","rating","departure_airport","scraped_at","url","image_url","offer_url"
"Abella Suites&Apartments","189.0","15.11.2026 - 16.11.2026","2 dni","","Warszawa","2026-05-28T08:45:17.119475+00:00","https://fly.pl/kierunek/egipt/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=20-09-2025&filter[whenTo]=15-10-2025&filter[duration]=8:8&filter[from]=Warszawa,Warszawa-Radom&filter[person]=2&filter[child]=1&filter[price]=0&filter[PriceFrom]=0&filter[PriceTo]=8100&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://datacfstatic.merlinx.pl/XTOP/IMG/77143/1e0e8e5706c1d40ab14d5abb1e26dbad519f4f945fdc80969f222d7f59c7b85e.webp","https://fly.pl/wycieczka/polska,krakow,c/abella-suitesapartments-11/XTOPeb7b1fX_wYAAHNOYVBwWQHpAAAHuYh7Cq0BCgUIjRsQAhIGCJWMARABGpsBTzU0NTQ0ODQyMmYzMjMwMzMzNTM4MzAzYTM0NjUzNTMyMzQzNjMyMzAzNDMyMzQzMTM1MzIzMjMwMzUzMjM0NjYzNDMwMzM2MTMzMzIzMzMxMzMzNDJmNDQ0MjU0NWY0MTUzMmY1MjRmMmYzMTJmMzIzMDMyMzYzMTMxMzEzNTJmMzAzMTMyMzMzNDM1MzYzNzM4MzkzMDMxMzIKIwoFCKAGEAESBQjABxABGhNEU1JNLTE1MzktMzI2cjE5NzAyGIMMIPgRMgYI1ZMBEAE4Ag/ofertasv/?filter[tourOperator]=XTOP&filter%5Bperson%5D=2"
"Abella Suites&Apartments","189.0","15.11.2026 - 16.11.2026","2 dni","","Warszawa","2026-05-28T08:45:17.186806+00:00","https://fly.pl/kierunek/egipt/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=20-09-2025&filter[whenTo]=15-10-2025&filter[duration]=8:8&filter[from]=Warszawa,Warszawa-Radom&filter[person]=2&filter[child]=1&filter[price]=0&filter[PriceFrom]=0&filter[PriceTo]=8100&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://datacfstatic.merlinx.pl/XTOP/IMG/77143/1e0e8e5706c1d40ab14d5abb1e26dbad519f4f945fdc80969f222d7f59c7b85e.webp","https://fly.pl/wycieczka/polska,krakow,c/abella-suitesapartments-11/XTOPeb7b1fX_wYAAHNOYVBwWQHpAAAHuYh7Cq0BCgUIjRsQAhIGCJWMARABGpsBTzU0NTQ0ODQyMmYzMjMwMzMzNTM4MzAzYTM0NjUzNTMyMzQzNjMyMzAzNDMyMzQzMTM1MzIzMjMwMzUzMjM0NjYzNDMwMzM2MTMzMzIzMzMxMzMzNDJmNDQ0MjU0NWY0MTUzMmY1MjRmMmYzMTJmMzIzMDMyMzYzMTMxMzEzNTJmMzAzMTMyMzMzNDM1MzYzNzM4MzkzMDMxMzIKIwoFCKAGEAESBQjABxABGhNEU1JNLTE1MzktMzI2cjE5NzAyGIMMIPgRMgYI1ZMBEAE4Ag/ofertasv/?filter[tourOperator]=XTOP&filter%5Bperson%5D=2"
"Smart Gdańsk","240.0","06.10.2026 - 07.10.2026","2 dni","","Warszawa","2026-05-28T08:45:17.258706+00:00","https://fly.pl/kierunek/egipt/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=20-09-2025&filter[whenTo]=15-10-2025&filter[duration]=8:8&filter[from]=Warszawa,Warszawa-Radom&filter[person]=2&filter[child]=1&filter[price]=0&filter[PriceFrom]=0&filter[PriceTo]=8100&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://datacfstatic.merlinx.pl/XTOP/IMG/209750/c138cca8643cc252b00bdce08dc0c0eca29809c97e925f6bf77763280579d320.webp","https://fly.pl/wycieczka/polska,trojmiasto,gdansk/smart-gdansk-12/XTOP2d0f3dX_wYAAHNOYVBwWQHdAADrPxkACqEBCgUI4CIQAhIGCNyzARABGo8BTzU0NTQ0ODQyMmYzNjMxMzMzOTMyMzQzYTM0NjUzNTMyMzQzNjMyNjQzNDMyMzQzMTM1MzIzNDMwMzM2MTMzMzIzMzMxMzMzNDJmNDQ0MjU0NWY1MzU0MmY1MjRmMmYzMTJmMzIzMDMyMzYzMTMwMzAzNjJmMzAzMTMyMzMzNDM1MzYzNzM4MzkzMDMxMzIKIwoFCKAGEAESBQjABxABGhNEU1JNLTE1NDEtMzI2cjE5NzA1GIUMIPoRMgYInLsBEAE4Ag/ofertasv/?filter[tourOperator]=XTOP&filter%5Bperson%5D=2"
"Leone Aparthotel","241.0","23.11.2026 - 24.11.2026","2 dni","","Warszawa","2026-05-28T08:45:17.326156+00:00","https://fly.pl/kierunek/egipt/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=20-09-2025&filter[whenTo]=15-10-2025&filter[duration]=8:8&filter[from]=Warszawa,Warszawa-Radom&filter[person]=2&filter[child]=1&filter[price]=0&filter[PriceFrom]=0&filter[PriceTo]=8100&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://datacfstatic.merlinx.pl/XTOP/IMG/134360/d05f50d582d588658226ae44fb74ea8556e4751aae89d50477aabef9aa4ee4d6.webp","https://fly.pl/wycieczka/polska,krakow,c/leone-aparthotel-10/XTOPd3c2feX_wYAAHNOYVBwWQH1AACIMmFaCrkBCgUI-yIQAhIGCOm0ARABGqcBTzU0NTQ0ODQyMmYzMTM4MzkzMDM1MzYzYTM0NjUzNTMyMzQzNjMyMzAzNDMyMzQzMTM1MzIzMjMwMzUzMjM0NjYzMjMwMzUzMDM0NjMzNDY1MzM2MTMzMzIzMzMxMzMzNDJmNDQ0MjRjNWY0NTU5MmY1MjRmMmYzMTJmMzIzMDMyMzYzMTMxMzIzMzJmMzAzMTMyMzMzNDM1MzYzNzM4MzkzMDMxMzIKIwoFCKAGEAESBQjABxABGhNEU1JNLTE1MzktMzI2cjE5NzAyGIMMIPgRMgYIqbwBEAE4Ag/ofertasv/?filter[tourOperator]=XTOP&filter%5Bperson%5D=2"
"Queen Apartments","242.0","09.12.2026 - 10.12.2026","2 dni","","Warszawa","2026-05-28T08:45:17.391676+00:00","https://fly.pl/kierunek/egipt/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=20-09-2025&filter[whenTo]=15-10-2025&filter[duration]=8:8&filter[from]=Warszawa,Warszawa-Radom&filter[person]=2&filter[child]=1&filter[price]=0&filter[PriceFrom]=0&filter[PriceTo]=8100&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://datacfstatic.merlinx.pl/XTOP/IMG/203419/68a13f81a69d6b8711c355234144b141a930ebd741bfd5e5b3988537c265e2ce.webp","https://fly.pl/wycieczka/polska,krakow,c/queens-apartments-12/XTOP2083c7X_wYAAHNOYVBwWQHZAAA6gpbcCp0BCgUIjiMQAhIGCMq1ARABGosBTzU0NTQ0ODQyMmYzMjMxMzQzODMyMzUzYTM0NjUzNTMyMzQzNjMyNjQzNDMyMzQzMTM1MzIzMzYxMzMzMjMzMzEzMzM0MmY0NDQyNGM1ZjUzNTQyZjUyNGYyZjMxMmYzMjMwMzIzNjMxMzIzMDM5MmYzMDMxMzIzMzM0MzUzNjM3MzgzOTMwMzEzMgojCgUIoAYQARIFCMAHEAEaE0RTUk0tMTUzOS0zMjZyMTk3MDIYgwwg-BEyBgiKvQEQATgC/ofertasv/?filter[tourOperator]=XTOP&filter%5Bperson%5D=2"
"Number One","243.0","23.11.2026 - 24.11.2026","2 dni","","Warszawa","2026-05-28T08:45:17.459266+00:00","https://fly.pl/kierunek/egipt/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=20-09-2025&filter[whenTo]=15-10-2025&filter[duration]=8:8&filter[from]=Warszawa,Warszawa-Radom&filter[person]=2&filter[child]=1&filter[price]=0&filter[PriceFrom]=0&filter[PriceTo]=8100&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2018/08/Number-One-fly-pl.jpg","https://fly.pl/wycieczka/polska,trojmiasto,gdansk/number-one/XTOPa1d440X_wYAAHNOYVBwWQHpAAAf8rdLCq0BCgUImiMQAhIGCIi2ARABGpsBTzU0NTQ0ODQyMmYzNjMxMzgzODMyMzgzYTM0MzIzNDMxMzUzMjMyMzAzNTMyMzQ2NjMyMzAzNDY1MzUzMjM0MzYzNDMwMzM2MTMzMzIzMzMxMzMzNDJmNDQ0MjRjNWY0MTUzMmY1MjRmMmYzMTJmMzIzMDMyMzYzMTMxMzIzMzJmMzAzMTMyMzMzNDM1MzYzNzM4MzkzMDMxMzIKIwoFCKAGEAESBQjABxABGhNEU1JNLTE1NDEtMzI2cjE5NzA1GIUMIPoRMgYIyL0BEAE4Ag/ofertasv/?filter[tourOperator]=XTOP&filter%5Bperson%5D=2"
"Station Aparthotel","247.0","23.11.2026 - 24.11.2026","2 dni","","Warszawa","2026-05-28T08:45:17.532033+00:00","https://fly.pl/kierunek/egipt/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=20-09-2025&filter[whenTo]=15-10-2025&filter[duration]=8:8&filter[from]=Warszawa,Warszawa-Radom&filter[person]=2&filter[child]=1&filter[price]=0&filter[PriceFrom]=0&filter[PriceTo]=8100&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://datacfstatic.merlinx.pl/XTOP/IMG/37944/8db3f42cd82b80c386d44c3da37180d8fd39a446755917b1569aadd22d12712a.webp","https://fly.pl/wycieczka/polska,krakow,c/station/XTOPf314f3X_wYAAHNOYVBwWQH1AAD1IZ3JCrkBCgUI6SMQAhIGCKG5ARABGqcBTzU0NTQ0ODQyMmYzMTM2MzIzNzM5MzgzYTM0NjUzNTMyMzQzNjMyMzAzNDMyMzQzMTM1MzIzMjMwMzUzMjM0NjYzMjMwMzUzMDM0NjMzNDY1MzM2MTMzMzIzMzMxMzMzNDJmNTQ1NzRlNWY0NjQ4MmY1MjRmMmYzMTJmMzIzMDMyMzYzMTMxMzIzMzJmMzAzMTMyMzMzNDM1MzYzNzM4MzkzMDMxMzIKIwoFCKAGEAESBQjABxABGhNEU1JNLTE1MzktMzI2cjE5NzAyGIMMIPgRMgYI4cABEAE4Ag/ofertasv/?filter[tourOperator]=XTOP&filter%5Bperson%5D=2"
"Wyspiański","271.0","25.12.2026 - 26.12.2026","2 dni","","Warszawa","2026-05-28T08:45:17.601312+00:00","https://fly.pl/kierunek/egipt/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=20-09-2025&filter[whenTo]=15-10-2025&filter[duration]=8:8&filter[from]=Warszawa,Warszawa-Radom&filter[person]=2&filter[child]=1&filter[price]=0&filter[PriceFrom]=0&filter[PriceTo]=8100&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://datacfstatic.merlinx.pl/XTOP/IMG/37786/5b210f8181a15ef752a86a1641da6c0927412b3a9a69abee69884924ea827b31.webp","https://fly.pl/wycieczka/polska,krakow,c/wyspianski/XTOPcdddb7X_wYAAHNOYVBwWQHTAABbTmtlCpcBCgUIvCcQAhIGCJHMARABGoUBTzU0NTQ0ODQyMmYzMTM4MzczNjMwM2EzNDM2MzQzOTM1MzQzMjMwMzUzMjM0NjYzMzYxMzMzMjMzMzEzMzM0MmY0NDQyNGM1ZjQxNTMyZjUyNGYyZjMxMmYzMjMwMzIzNjMxMzIzMjM1MmYzMDMxMzIzMzM0MzUzNjM3MzgzOTMwMzEzMgojCgUIoAYQARIFCMAHEAEaE0RTUk0tMTUzOS0zMjZyMTk3MDIYgwwg-BEyBgjR0wEQATgC/ofertasv/?filter[tourOperator]=XTOP&filter%5Bperson%5D=2"
"Garden Square","277.0","30.10.2026 - 31.10.2026","2 dni","","Warszawa","2026-05-28T08:45:17.666704+00:00","https://fly.pl/kierunek/egipt/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=20-09-2025&filter[whenTo]=15-10-2025&filter[duration]=8:8&filter[from]=Warszawa,Warszawa-Radom&filter[person]=2&filter[child]=1&filter[price]=0&filter[PriceFrom]=0&filter[PriceTo]=8100&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://datacfstatic.merlinx.pl/XTOP/IMG/208485/63abc2b7ee4e08ddf761b1d22e998759233473edcff2e2f9dbe3bc342071c747.webp","https://fly.pl/wycieczka/polska,krakow,c/garden-square-12/XTOP4c8b7fX_wYAAHNOYVBwWQHpAACdm-82Cq0BCgUIsygQAhIGCPjQARABGpsBTzU0NTQ0ODQyMmYzNjM4MzAzNzM4MzUzYTM0MzIzNDMxMzUzMjMyMzAzNTMyMzQ2NjMyMzAzNDY1MzUzMjM0MzYzNDMwMzM2MTMzMzIzMzMxMzMzNDJmNDQ0MjRjNWY1MzU0MmY1MjRmMmYzMTJmMzIzMDMyMzYzMTMwMzMzMDJmMzAzMTMyMzMzNDM1MzYzNzM4MzkzMDMxMzIKIwoFCKAGEAESBQjABxABGhNEU1JNLTE1MzktMzI2cjE5NzAyGIMMIPgRMgYIuNgBEAE4Ag/ofertasv/?filter[tourOperator]=XTOP&filter%5Bperson%5D=2"
"Twierdza Modlin","278.0","05.08.2026 - 05.08.2026","1 dni","","Warszawa","2026-05-28T08:45:17.723771+00:00","https://fly.pl/kierunek/egipt/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=20-09-2025&filter[whenTo]=15-10-2025&filter[duration]=8:8&filter[from]=Warszawa,Warszawa-Radom&filter[person]=2&filter[child]=1&filter[price]=0&filter[PriceFrom]=0&filter[PriceTo]=8100&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://datacfstatic.merlinx.pl/SYTP/IMG/236/6c97c0e4d9ba53a4aee78217c25b4a2d034984f47a11cf9c4e4f57f57530433d.webp","https://fly.pl/wycieczka/polska,wyc-objazdowe,c/twierdza-modlin-15/pYslGKc6MRQClPAcZN6BW2AAog87Yb-sT0ObrUtpzn19M_hzVKYpUozz4mqP8XXgAS5I4qBFNZVFAwvYDg0AZIlgJQAVjvDGACagNQQVhqAk9CagQvMDAxagByFhsWDiAKDBHgAQ3ZzdQJDwABEmMBDGMV3VUM/ofertasv/?filter[tourOperator]=SYTP&filter%5Bperson%5D=2"
